Index A,Index B,Issue Name,Where the issue is found,Type of Issue,Evidence of Exploitation,Potential damage incured during testing,Security Level
2,20,Data backups not maintained for adquiate period of time on - CCTV Video,Backup and Redundency,Out of Specification,Not Applicable,Not Applicable,Not Applicable
3,11,Door Open period for Electronic Access Control System longer than required,BMS/SMS Configuration and Implementation,Out of Specification,Covert,Not Applicable,SL2
3,12,Electronic Access Control does not lockout denied users,BMS/SMS Configuration and Implementation,Out of Specification,,Not Applicable,SL1
4,2,Sensitive Equipment or Enclosure does not contain physical access control mechaism,Building or Facility Design and Implementation,Out of Specification,Surreptitious,Not Applicable,Varies
4,11,Cable Transfer device in use not rated for Sensitive Area,Building or Facility Design and Implementation,Out of Specification,Varies,Not Applicable,SL2
4,18,Emergency Egress Stairs access control can be bypassed,Building or Facility Design and Implementation,Out of Specification,Covert,Not Applicable,SL1
4,20,Internal Movement Stairs access control can be bypassed,Building or Facility Design and Implementation,Out of Specification,Covert,Not Applicable,Varies
4,21,Observation for Sensitive Material from Unauthorised location,Building or Facility Design and Implementation,Out of Specification,Covert,Not Applicable,SL1
4,22,Sensitive Area Door does not use automatic door closer,Building or Facility Design and Implementation,Out of Specification,Covert,Not Applicable,Varies
4,24,Sensitive Area lacks access control for egress (Uses Door Exit button or backside lever exit instead of Card Reader or Lock),Building or Facility Design and Implementation,Out of Specification,Not Applicable,Not Applicable,SL1
4,25,Door Hardware installed not matching security requirements,Building or Facility Design and Implementation,Out of Specification,Not Applicable,Not Applicable,Varies
4,26,Door Hardware installed not matching security requirements - Lack of Full Plate for Handle,Building or Facility Design and Implementation,Out of Specification,Not Applicable,Not Applicable,SL2
4,27,"Door Hardware installed not matching security requirements - Hinges do not match requirements (Count, size, removable externally, captive pins use screw threads)",Building or Facility Design and Implementation,Out of Specification,Not Applicable,Not Applicable,Varies
4,28,Door Hardware installed not matching security requirements - Door thickness under recommended size,Building or Facility Design and Implementation,Out of Specification,Not Applicable,Not Applicable,SL2
4,29,Door Hardware installed not matching security requirements - Door Material not matching requirements (Particleboard or hollow core doors for example),Building or Facility Design and Implementation,Out of Specification,Not Applicable,Varies,SL2
4,30,Door Hardware installed not matching security requirements - Out of Hours deadbolt missing from door,Building or Facility Design and Implementation,Out of Specification,Not Applicable,Not Applicable,SL2
4,31,Door Hardware installed not matching security requirements - Latch Blocker missing from door,Building or Facility Design and Implementation,Out of Specification,Not Applicable,Not Applicable,SL2
4,32,Door Hardware installed not matching security requirements - Electro-Magnetic Lock positioned incorrectly,Building or Facility Design and Implementation,Out of Specification,Not Applicable,Not Applicable,SL3
4,33,Door Hardware installed not matching security requirements - Door frame not matching to specifications (Spreader attack),Building or Facility Design and Implementation,Out of Specification,Not Applicable,Not Applicable,SL3
4,34,Door Hardware installed not matching security requirements - Door gap between still and leaf exceeds 10mm (Fire Standard Requirement),Building or Facility Design and Implementation,Out of Specification,Not Applicable,Not Applicable,SL2
4,35,Door Hardware installed not matching security requirements - Door gap between frame and leaf exceeds 3mm (Fire Standard Requirements),Building or Facility Design and Implementation,Out of Specification,Not Applicable,Not Applicable,SL2
5,6,CCTV System is not monitored,CCTV Monitoring/Recording,Out of Specification,Covert,Not Applicable,SL1
5,7,CCTV System streams but does not record video,CCTV Monitoring/Recording,Out of Specification,Covert,Not Applicable,Varies
5,8,CCTV System does not maintain recordings for an adquiate period of time,CCTV Monitoring/Recording,Out of Specification,Not Applicable,Not Applicable,Varies
5,9,CCTV System does not match local standards required for monitoring,CCTV Monitoring/Recording,Out of Specification,Not Applicable,Not Applicable,Varies
5,10,CCTV System access improperly segriagted,CCTV Monitoring/Recording,Out of Specification,Not Applicable,Not Applicable,SL2
6,1,Lack of Documentation for,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
6,2,Lack of Documentation for - Security Management System,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
6,3,Lack of Documentation for - Equipment in use,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
6,4,Lack of Documentation for - Equipment location,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
6,5,Lack of Documentation for - CCTV Camera Locations,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
6,6,Lack of Documentation for - Key Control/Ownership/Management,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
6,7,Incorrect or misrepresented documentation for,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
6,8,Incorrect or misrepresented documentation for - Security Management System,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
6,9,Incorrect or misrepresented documentation for - Equipment in use,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
6,10,Incorrect or misrepresented documentation for - Equipment location,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
6,11,Incorrect or misrepresented documentation for - CCTV Camera Locations,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
6,12,Incorrect or misrepresented documentation for - Key Control/Ownership/Management,Documentation,Out of Specification,Not Applicable,Not Applicable,Not Applicable
7,8,Bypass of Latch Blocker to door latch,Doors,Out of Specification,Surreptitious,Minor Cosmetic Damage ,SL1
9,5,Key box in use suseptable to decoding attacks,Locks,Out of Specification,Covert,No identifiable signs of damage,SL3
9,6,Key box in use suseptable to hinge removal attacks,Locks,Out of Specification,Covert,Minor Operational Damage,SL3
9,7,Key box in use suseptable to RFID cloning attack (Key box contains RFID Tag),Locks,Out of Specification,Surreptitious,Not Applicable,SL3
9,13,Lock in use suseptable to decoding attack,Locks,Out of Specification,Varies,Varies,SL2
9,14,Lock in use suseptable to decoding attack - Key Box,Locks,Out of Specification,Varies,Varies,SL2
9,15,Lock in use suseptable to decoding attack - Combonation Lock,Locks,Out of Specification,Varies,Varies,Varies
9,16,Lock in use suseptable to decoding attack - Digital Combonation Lock,Locks,Out of Specification,Varies,Varies,SL2
9,21,Digital Combonation lock or PIN System in use is non-unique per use,Locks,Out of Specification,Surreptitious,Not Applicable,SL3
9,22,Rapid access system in use suseptable to bypass attack (Knox Boxes/Fire key boxes),Locks,Out of Specification,Surreptitious,Varies,SL2
9,23,Rapid access system in use suseptable to picking attack (Knox Boxes/Fire key boxes),Locks,Out of Specification,Covert,Minor Cosmetic Damage ,SL3
9,24,"Externally Removable Lock used for Access Control to perimiter entry (Padlock and Chain, other methods where the lock can be removed from the system from external level access)",Locks,Out of Specification,Overt,Not Applicable,Varies
9,25,"Externally Removable Lock used for Access Control to senistive area (Padlock and Chain, other methods where the lock can be removed from the system from external level access)",Locks,Out of Specification,Overt,Not Applicable,Varies
10,1,RFID Access Cards uses default or common encryption key,RFID Access Control Systems,Out of Specification,Surreptitious,Not Applicable,SL1
10,2,RFID Access Cards does not implement encryption,RFID Access Control Systems,Out of Specification,Surreptitious,Not Applicable,SL1
10,4,RFID Access Cards uses Sequential cards for authentication,RFID Access Control Systems,Out of Specification,Surreptitious,Not Applicable,SL3
10,9,RFID Reader does not use security screws for attachment to wall,RFID Access Control Systems,Out of Specification,Surreptitious,Not Applicable,SL1
10,14,RFID Access Controller has extended sync period for local cache (RFID Cards stay online after cancelled for longer than 30 minutes),RFID Access Control Systems,Out of Specification,Covert,Not Applicable,Varies
11,1,Equipment or data housing device stored in an unsafe manner,Security Training and Hygene,Out of Specification,Varies,Not Applicable,SL3
11,2,Equipment or data housing device incorrectly managed in non-secure container,Security Training and Hygene,Out of Specification,Varies,Not Applicable,SL3
11,3,Equipment or data housing device incorrectly disposed in garbage/e-waste,Security Training and Hygene,Out of Specification,Varies,Not Applicable,SL2
11,4,Sensitive Documents or Data disposed of in general waste,Security Training and Hygene,Out of Specification,Covert,Not Applicable,SL2
11,5,Sensitive Documents or Data not shreaded or destroyed during disposal process,Security Training and Hygene,Out of Specification,Covert,Not Applicable,SL2
11,6,Sensitive Documents or Data not forensically disposed of during disposal process,Security Training and Hygene,Out of Specification,Covert,Not Applicable,SL4
11,7,Document Destruction bin does not contain proper security for sensitive data,Security Training and Hygene,Out of Specification,Covert,Not Applicable,Varies
11,8,Card making equipment located in non-secure area,Security Training and Hygene,Out of Specification,Covert,Not Applicable,SL2
11,9,Card spares/blanks/returned located in non-secure area,Security Training and Hygene,Out of Specification,Covert,Not Applicable,SL3
11,10,Card spares/blanks/returned not disposed of securely,Security Training and Hygene,Out of Specification,Covert,Not Applicable,SL3
11,11,Access Control bypassed due to lock mechanism not being engaged after use ,Security Training and Hygene,Out of Specification,Surreptitious,Not Applicable,SL1
11,12,Non-Security Personnel do not raise security alert for suspisous members of staff,Security Training and Hygene,Out of Specification,Covert,Not Applicable,SL1
11,13,Keys or other access control methods left in unsafe location or manner,Security Training and Hygene,Out of Specification,Varies,Not Applicable,SL1
11,14,Sensitive Information or data displayed or stored or left in unsafe manner (Post it with a password),Security Training and Hygene,Out of Specification,Covert,Not Applicable,SL1
11,15,Security Personnel did not verify door as secure during door check,Security Training and Hygene,Out of Specification,Not Applicable,Not Applicable,Varies
11,16,Non-Security Personnel do not raise security alert for lost property,Security Training and Hygene,Out of Specification,Not Applicable,Not Applicable,Varies
12,1,Lack of attendance by Security Personnel during a security event,Surveillance Detection and Response,Out of Specification,Not Applicable,Not Applicable,Varies
12,2,Out of Recommended Time response by Security Personnel during a security event,Surveillance Detection and Response,Out of Specification,Not Applicable,Not Applicable,Varies
12,3,Lack of prioritisation for security events,Surveillance Detection and Response,Out of Specification,Not Applicable,Not Applicable,Varies
12,4,Lack of documentation by Security Personnel during security event,Surveillance Detection and Response,Out of Specification,Varies,Not Applicable,Varies
12,5,Security Personnel do not verify credentials of personel during security event,Surveillance Detection and Response,Out of Specification,Overt,Not Applicable,Varies
12,6,Security Personnel do not verify 3rd party sponsorships during security event,Surveillance Detection and Response,Out of Specification,Overt,Not Applicable,Varies
12,7,Inadiquate Staffing of Security team,Surveillance Detection and Response,Out of Specification,Not Applicable,Not Applicable,Varies
12,8,Security Alerts are not monitored by Security Personnel,Surveillance Detection and Response,Out of Specification,Covert,Not Applicable,Varies
12,9,Security Personnel did not verify door is secured after security event,Surveillance Detection and Response,Out of Specification,Covert,Not Applicable,Varies
12,10,Playbooks not followed during security event,Surveillance Detection and Response,Out of Specification,Not Applicable,Not Applicable,Varies
12,11,Playbooks for security event missing,Surveillance Detection and Response,Out of Specification,Not Applicable,Not Applicable,Varies
1,9,Lack of anti-tamper trigger for Magnetic Reed Switch,Alarms and Monitoring,Security Enhancement,Covert,No identifiable signs of damage,SL3
1,48,Electronic Access Control System does not have/not conifgured with dual authentication system on sensitive area,Alarms and Monitoring,Security Enhancement,Surreptitious,No identifiable signs of damage,SL3
4,1,Tailgaiting possible due to lack of mantrap or turnstyle system,Building or Facility Design and Implementation,Security Enhancement,Covert,Not Applicable,SL2
3,4,Secure Area Door fails in Open and not Secure,BMS/SMS Configuration and Implementation,Security Enhancements,Surreptitious,Not Applicable,Varies
4,39,Tailgaiting possible due to lack of mantrap or turnstyle system,Building or Facility Design and Implementation,Security Enhancements,Surreptitious,Not Applicable,Varies
8,1,Common key used in access control,Keys and Key Systems,Security Enhancements,Surreptitious,Not Applicable,SL2
8,2,Common key used in access control - Elevator (Fire/Service),Keys and Key Systems,Security Enhancements,Surreptitious,Not Applicable,SL2
8,3,Common key used in access control - Door,Keys and Key Systems,Security Enhancements,Surreptitious,Not Applicable,SL2
8,4,Common key used in access control - Rapid access system,Keys and Key Systems,Security Enhancements,Surreptitious,Not Applicable,SL2
8,5,Common key used in access control - Server Rack,Keys and Key Systems,Security Enhancements,Surreptitious,Not Applicable,SL2
8,6,Common key used in access control - Cabinet,Keys and Key Systems,Security Enhancements,Surreptitious,Not Applicable,SL2
8,7,Common key used in access control - Sensitive Area,Keys and Key Systems,Security Enhancements,Surreptitious,Not Applicable,SL2
8,8,Key system clonable via Teleduplication,Keys and Key Systems,Security Enhancements,Surreptitious,Not Applicable,SL3
8,9,Key system clonable via Casting attack,Keys and Key Systems,Security Enhancements,Surreptitious,No identifiable signs of damage,SL3
8,10,Key system clonable due to lack of restricted keyway,Keys and Key Systems,Security Enhancements,Surreptitious,Not Applicable,SL2
8,11,Key system allows for privlege escalation via master key attack on core removal,Keys and Key Systems,Security Enhancements,Surreptitious,Varies,SL3
8,12,Key system lacks proper key management,Keys and Key Systems,Security Enhancements,Surreptitious,Not Applicable,SL1
8,13,Key system does not match security requirements,Keys and Key Systems,Security Enhancements,Varies,Not Applicable,Varies
8,14,Key system does not match security requirement - 5 or 6 pin and tumbler lock,Keys and Key Systems,Security Enhancements,Varies,Not Applicable,SL2
8,15,Key system does not match security requirement - Wafer lock,Keys and Key Systems,Security Enhancements,Varies,Not Applicable,SL2
8,16,Key system does not match security requirement - Non-restricted keyway,Keys and Key Systems,Security Enhancements,Varies,Not Applicable,SL2
8,17,Key system does not match security requirement - No Patent Protection on Keys,Keys and Key Systems,Security Enhancements,Varies,Not Applicable,SL2
8,18,Key system does not match security requirement - Lock picked publicly in under x period of time,Keys and Key Systems,Security Enhancements,Varies,Not Applicable,Varies
9,8,Pin Tumbler Lock in use weak to overlifting attack,Locks,Security Enhancements,Covert,No identifiable signs of damage,SL3
9,9,Pin Tumbler Lock in use weak to Impressioning attack,Locks,Security Enhancements,Surreptitious,No identifiable signs of damage,SL3
9,10,Pin Tumbler Lock in use weak to jiggling attack,Locks,Security Enhancements,Covert,No identifiable signs of damage,SL2
9,11,Wafer lock in use weak to jiggling attack,Locks,Security Enhancements,Covert,No identifiable signs of damage,SL2
9,12,Padlock in use shimmable due to spring based locking pawl,Locks,Security Enhancements,Covert,Varies,SL2
9,17,Digital Combonation lock in use suseptable to thermal impressioning (FLIR),Locks,Security Enhancements,Surreptitious,Not Applicable,SL4
9,18,Digital Combonation lock in use suseptable to impressioning (Dust/Powder Cover),Locks,Security Enhancements,Covert,No identifiable signs of damage,SL3
9,19,Digital Combonation lock in use displays valid code sequence on buttons (Worn buttons show valid sequence for entry),Locks,Security Enhancements,Surreptitious,Not Applicable,SL1
9,20,Digital Combonation lock in use displays valid code nearby (Stickered or written code nearby),Locks,Security Enhancements,Surreptitious,Not Applicable,SL1
10,3,RFID Access Cards are able to be duplicated,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,Varies
10,5,RFID Access Card does not implement recommended hardening on card,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,SL2
10,6,RFID Access Card does not use virtual contact interface,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,SL4
10,7,RFID Reader uses insecure communication protocol,RFID Access Control Systems,Security Enhancements,Covert,Not Applicable,SL3
10,8,RFID Reader not actively synced between Security Management System,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,SL1
10,11,RFID Reader does not detect Magic Cards in use,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,Varies
10,13,RFID Access Controller does not implement Message Replay Protections,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,SL3
10,16,RFID Access Controller does not prevent Bruteforcing of UIDs (CHUID Exploits),RFID Access Control Systems,Security Enhancements,Covert,Not Applicable,SL3
